X,Y,OBJECTID,ESTABLISH,LOCATION,LICENSE_TY,ESTABLISHMENTID
3117238.060480564832687,1457120.109688401222229,65,Comet Chicken,126 West Mountain Avenue,Hotel-Restaurant,3093
3127387.099242016673088,1433309.750818222761154,66,Texas Roadhouse,4633 Timberline Road,Hotel-Restaurant,3094
3117046.059888392686844,1456604.769511923193932,67,Fish,150 West Oak Street,Tavern,3095
3117364.80990469455719,1453807.23934930562973,68,Chipotle Mexican Grill,649 South College Avenue,Hotel-Restaurant,3097
3117343.430352672934532,1445385.880525469779968,69,Inca Mexican Restaurant,2413 South College Avenue,Hotel-Restaurant,3098
3123615.389270514249802,1456628.409559935331345,70,Walmart Store #2729,1250 East Magnolia Street,Fermented Malt Beverage (off-premises),3099
3131952.919502273201942,1433592.189874485135078,71,Austin's American Grill,"2815 Harmony Road, Unit D",Hotel-Restaurant,3102
3117330.690224662423134,1457580.509688824415207,72,Pueblo Viejo Family Mexican Restaurant,185 North College,Hotel-Restaurant,3105
3108435.047256380319595,1434083.970386937260628,73,Seneca Liquors,1721 West Harmony,Retail Liquor Store,3106
3116810.200448170304298,1454105.679685592651367,74,Match-Ups,625 South Mason Street,Tavern,3107
3115399.590078860521317,1452467.110132068395615,75,Lory Student Center,Colorado State University,Brew Pub,3108
3126924.118873596191406,1433456.330242365598679,76,Uptown Liquors,"1833 East Harmony Road, #3",Retail Liquor Store,3109
3122308.030325293540955,1433711.721138596534729,77,Domenic's,"931 East Harmony Road, #3",Hotel-Restaurant,3111
3117589.567328900098801,1456018.264455378055573,78,JeJu Restaurant,238 South College Avenue,Hotel-Restaurant,3112
3124280.210119128227234,1434386.830355226993561,79,Premier Wine and Spirits,1414 East Harmony Road,Retail Liquor Store,3113
3118107.82777738571167,1435910.828292638063431,80,Chili House Oriental Cuisine,"4200 South College Avenue, Suite 110",Hotel-Restaurant,3114
3117743.690049037337303,1465713.309040397405624,81,Pobre Pancho's,1802 North College Avenue,Hotel-Restaurant,3115
3116786.940000146627426,1438961.339895486831665,82,Chipper's Lanes,217 West Horsetooth Road,Lodging & Entertainment,3116
3122287.050709277391434,1444065.100364238023758,83,Island Grill,"2601 South Lemay Avenue, Suite 12",Hotel-Restaurant,3117
3117691.741008996963501,1461163.439196169376373,84,Chipper's Lanes,830 North College Avenue,Lodging & Entertainment,3118
3117818.620673105120659,1443159.409915402531624,85,Nyala Ethiopian Cuisine,"2900 Harvard Street, Suite A",Hotel-Restaurant,3119
3112119.60025180876255,1444007.791100189089775,86,Mt. Everest Café,"1113 West Drake Road, #D54",Beer and Wine,3120
3113159.010236769914627,1444771.720012903213501,87,Pho Duy,"902 West Drake, #D1",Beer and Wine,3121
3117102.816000446677208,1446681.105966672301292,88,Wilbur's Total Beverage,"2201 South College Avenue, Suite 108",Retail Liquor Store,3122
3118561.960721805691719,1457119.539800390601158,89,Melting Pot,334 East Mountain Avenue,Hotel-Restaurant,3126
3117923.860625207424164,1433982.368882849812508,90,Buffalo Wild Wings,"150 East Harmony Road, Unit 2A",Hotel-Restaurant,3128
3128375.909594938158989,1444052.630252227187157,91,King Soopers #97,2602 South Timberline Road,Fermented Malt Beverage (off-premises),3133
3117804.090193092823029,1457693.479608938097954,92,Silver Grill Café,218 Walnut St,Hotel-Restaurant,3134
3122455.040533423423767,1453287.96938082575798,93,Lemay Liquors,"737 South Lemay Avenue, #B2",Retail Liquor Store,3135
3117095.740224435925484,1453838.159237340092659,94,Pizza Casbah,126 West Laurel Street,Hotel-Restaurant,3136
3117314.470112636685371,1456559.429703876376152,95,Drunken Monkey,151 South College Avenue,Tavern,3137
3111962.410267651081085,1444128.100236296653748,96,West End Pub,"1119 West Drake Road, Suite C-9",Tavern,3138
3108726.989256650209427,1457089.682904362678528,97,Inn at City Park,1734 West Mountain Avenue,Bed and Breakfast Permit,3139
3117237.449920564889908,1442300.090442597866058,98,Café Mexicali,2925 South College Avenue,Hotel-Restaurant,3141
3123066.739766001701355,1449288.759201109409332,99,East Moon Asian Bistro,1624 South Lemay Avenue,Hotel-Restaurant,3142
3111583.362795308232307,1452341.720627948641777,100,Road 34 Bike Bar,1213 West Elizabeth Street Unit A,Hotel-Restaurant,3143
3127037.709513694047928,1433635.790514528751373,101,Matador Mexican Grill,1823 East Harmony Road,Beer and Wine,3144
3122403.360197380185127,1453508.559493035078049,102,SAFEWAY STORE #876,731 South Lemay Avenue,Fermented Malt Beverage (off-premises),3146
3106731.690422788262367,1444585.502204731106758,103,Maya Cove,"2100 West Drake Road, Unit 1",Hotel-Restaurant,3151
3112348.070268020033836,1438731.570023268461227,104,Hibachi Japanese Steakhouse and Sushi Bar,1051 West Horsetooth Road,Hotel-Restaurant,3153
3113116.020172730088234,1444745.350316867232323,105,Vincent's,"902 West Drake Road, #4",Hotel-Restaurant,3157
3122141.610389143228531,1433234.700434148311615,106,Ryan's Sports Grill,925 East Harmony Road,Hotel-Restaurant,3159
3106776.450502827763557,1445208.070189297199249,107,SAFEWAY FUEL STATION #2913,2451 South Taft Hill Road,Fermented Malt Beverage (off-premises),3162
3124712.049799531698227,1433398.710274308919907,108,Homewood Suites by Hilton,1521 Oakridge Drive,Beer and Wine,3163
