X,Y,OBJECTID,ESTABLISH,LOCATION,LICENSE_TY,ESTABLISHMENTID
3117618.840560927987099,1456081.939527437090874,241,URBAN EGG,230 South College Avenue,Hotel-Restaurant,92030
3123006.339957937598228,1433104.260402023792267,242,Otto Pint,1100 Oakridge Drive Unit A,Hotel-Restaurant,92031
3115821.070207253098488,1455580.019926965236664,243,"Lost Cajun, The","331 South Meldrum Street, Suite 100",Hotel-Restaurant,92089
3118686.770177915692329,1440486.760408908128738,244,Casa Del Matador,"341 East Foothills Parkway, Suite 110",Hotel-Restaurant,92091
3110205.937082022428513,1452309.397523909807205,245,C & C LIQUOR,"1501 West Elizabeth Street, Suite D",Retail Liquor Store,92451
3132188.519422501325607,1433301.710802212357521,246,Hilton Garden Inn Fort Collins,2821 East Harmony Road,Hotel-Restaurant,92559
3117045.340064391493797,1449603.330097392201424,247,Music City Hot Chicken,"111 West Prospect Road, #B & C",Hotel-Restaurant,92566
3117080.430544421076775,1456107.529031455516815,248,"Waffle Lab, The","130 West Olive Street, #D",Hotel-Restaurant,92573
3131996.909566313028336,1434710.620707526803017,249,Himalayan Bistro,"2720 Council Tree Avenue, Suite 184",Hotel-Restaurant,92614
3128256.77957883477211,1448138.29923203587532,250,Cacciatore at Heller's Kitcher,"1939 Jessup Drive, Suite 110",Hotel-Restaurant,92653
3118612.990481853485107,1440564.010904982686043,251,BAD DADDY'S BURGER BAR,"347 EAST FOOTHILLS PARKWAY, #110",Hotel-Restaurant,92679
3118768.37041799724102,1440726.340633124113083,252,Grimaldi's Pizzeria,"327 East Foothills Parkway, Suite 110",Hotel-Restaurant,92732
3117703.090385004878044,1440583.730024993419647,253,Smashburger #1420,"3300 South College Avenue, Unit #110",Beer and Wine,92750
3117313.990768641233444,1455800.440087169408798,254,Tap and Handle,307 South College Avenue,Beer and Wine,92751
3117706.349905014038086,1440678.570393085479736,255,Torchy's Tacos,"3280 South College AVenue, #130",Hotel-Restaurant,92795
3122716.880229666829109,1452099.819203719496727,256,Wing Shack,1011 South Lemay Avenue,Beer and Wine,92828
3115950.570927366614342,1449397.869553208351135,257,Hilton Fort Collins,425 West Prospect,Hotel-Restaurant,92854
3117174.780432507395744,1456080.799751430749893,258,CHOICE CITY WINGS,120 West Olive Street,Hotel-Restaurant,93064
3110811.190794587135315,1452321.69179593026638,259,7-Eleven Store 35880B,1401 West Elizabeth Street,Fermented Malt Beverage (off-premises),93065
3117698.750176995992661,1441352.400409713387489,260,Zoe's Kitchen,"3100 South College Avenue, Suite 130",Beer and Wine,93091
3112381.710620045661926,1445334.67065341770649,261,MOD Pizza,1013 Centre Avenue,Beer and Wine,93150
3117314.370048642158508,1457385.349320650100708,262,"Still Whiskey Steaks, The",151 North College Avenue,Hotel-Restaurant,93270
3117314.2804806381464,1456055.91955940425396,263,HuHot Mongolian Grill,249 South College Avenue,Hotel-Restaurant,93311
3117039.780688390135765,1449323.349361136555672,264,Bawarchi,"1611 South College Avenue, Suite 100",Hotel-Restaurant,93328
3112764.910636410117149,1438868.570407405495644,265,Bison Liquors,"1015 West Horsetooth Road, #101",Retail Liquor Store,93346
3118729.310129955410957,1440761.060057163238525,266,Smokin Fins Restaurant,"327 East Foothills Parkway, #120",Hotel-Restaurant,93349
3117104.830768451094627,1459170.339514300227165,267,Sapphire Events,408 Mason Court,Hotel-Restaurant,93511
3111574.140715301036835,1444572.010444715619087,268,Tokyo Joe's,"2519 South Shields Street, Suite C",Hotel-Restaurant,93565
3117705.700945004820824,1440470.890360891819,269,Nail Bar & Co,"3300 South College Avenue, Unit 150",Beer and Wine,93624
3128650.10983519256115,1443720.169947922229767,270,Krazy Karls Pizza,"2620 South Timberline Avenue, Unit D5",Beer and Wine,93627
3111361.880635097622871,1452628.149188220500946,271,Dragon Lee Restaurant,1232 West Elizabeth Street,Beer and Wine,93820
3128316.329658895730972,1443564.520331770181656,272,Muddled Mango,"2638 South Timberline Road, Unit 200",Hotel-Restaurant,94071
3117313.819840639829636,1457473.009896725416183,273,Hodi's Half Note,167-169 North College Avenue,Tavern,94098
3117353.430336683988571,1449086.040128916501999,274,Taqueria Express,1669 South College Avenue,Hotel-Restaurant,94109
3116852.030416205525398,1454879.969814315438271,275,Harbinger Coffee,"505 South Mason Street, Suite 100",Beer and Wine,94187
3117966.879889249801636,1457526.999944776296616,276,Locks and Manes,217 B Linden Street,Beer and Wine,94216
3117224.660576552152634,1457851.13972108066082,277,Washington's,132 Laporte Avenue,Lodging & Entertainment,94288
3113986.334877535700798,1450953.627410650253296,278,CANVAS STADIUM AT SONNY LUBICK FIELD,751 WEST PITKIN STREET,Hotel-Restaurant,94472
3129482.719387978315353,1433960.170450821518898,279,RALLY 5,"2310 East Harmony Road, Suite 101",Hotel-Restaurant,94776
3118196.59072145819664,1464956.549727693200111,280,Elevated Sandwiches,"1612 North College AVenue, Unit K",Beer and Wine,95022
3135747.819393813610077,1433667.380018562078476,281,DC Oakes Brehouse and Eatery,"3581 East Harmony Road, Suite 110",Brew Pub,95027
3127855.839770466089249,1447676.129231601953506,282,Serious Texas Bar-B-Q,2001 South Timberline Road,Hotel-Restaurant,95028
3123458.029014363884926,1433579.420546472072601,283,Courtyard by Marriott - Fort Collins,1200 Oakridge Drive,Hotel-Restaurant,95086
3123462.439430370926857,1432903.140401840209961,284,Residence Inn by Marriott,1127 Oakridge Drive,Beer and Wine,95087
3117314.2804806381464,1456055.91955940425396,285,Armstrong Hotel/Ace Gillette's,259 South College Avenue,Hotel-Restaurant,95100
3135892.349617943167686,1433661.740594550967216,286,Tokyo Joe's,"3581 east Harmony Road, Suite 150",Beer and Wine,95134
3111449.380459174513817,1452563.24938015639782,287,Pinball Jones Campus West,"1228 WEst Elizabeth Street, D1, D2",Tavern,95159
3128653.29978720843792,1444038.620108217000961,288,Genoa Coffee & Wine,"2614 South Timberline Road, #101",Beer and Wine,95242
3112596.619964241981506,1439036.059895560145378,289,Sazerac New Orleans Bistro,"1003 West Horsetooth Road, A/B",Hotel-Restaurant,95271
3117919.170337200164795,1436821.810053497552872,290,Taps Sports Bar,165 Boardwalk Drive,Hotel-Restaurant,95278
3106537.505206599831581,1451903.967299535870552,291,Justine's Pizza Fort Collins,"1015 SOUTH TAFT HILL ROAD, SUITE I",Beer and Wine,95280
3120699.70021179318428,1434004.800274863839149,292,7-Eleven Store 25290J,4543 Boardwalk Drive,Fermented Malt Beverage (off-premises),95348
3118575.660497814416885,1440602.210633009672165,293,"Hop Grenade Taproom, The",347 EAST FOOTHILLS PARKWAY UNIT #120,Beer and Wine,95477
3121513.290772557258606,1433683.420018568634987,294,Outback Steakhouse,807 EAST HARMONY ROAD,Hotel-Restaurant,95499
3135747.819393813610077,1433667.380018562078476,295,DC Oakes Brewhouse and Eatery,"3581 EAST HARMONY ROAD, SUITE 110",Brew Pub,95512
3117156.920560494065285,1453778.989397287368774,296,DAM GOOD TACOS,120 1/2 WEST LAUREL STREET,Beer and Wine,95619
3117440.570576757192612,1448532.340112403035164,297,SNACK ATTACK SPECIALTY SANDIWCHES & BREWS,"120 WEST STUART STREET, UNIT A",Beer and Wine,95773
3118418.05057767033577,1458072.699641287326813,298,GINGER AND BAKER,359 LINDEN STREET,Hotel-Restaurant,96023
3135568.219681635499001,1433678.230722561478615,299,FAMOUS TOASTERY,"3541 EAST HARMONY ROAD, SUITE 110",Hotel-Restaurant,96375
3110205.937082022428513,1452309.397523909807205,300, SERIOUS TEXAS BAR-B-Q,1501 WEST ELIZABETH UNIT 5,Hotel-Restaurant,96376
3117616.52068892121315,1452818.329908385872841,301,AVUNCULAR BOB'S BEERHOUSE,830 SOUTH COLLEGE AVENUE,Beer and Wine,96377
3117364.80990469455719,1453807.23934930562973,302,PIZZAREV,649 SOUTH COLLEGE AVENUE,Beer and Wine,96378
3118302.700417563319206,1457211.289624482393265,303,THE ELIZABETH HOTEL,111 CHESTNUT STREET,Hotel-Restaurant,96379
3106432.856374502182007,1452122.742707744240761,304,WHITE TREE,1015 SOUTH TAFT HILL ROAD UNIT S,Beer and Wine,96397
3117231.908576563000679,1455893.781767249107361,305,BRAVE NEW WHEEL,111 WEST OLIVE STREET,Beer and Wine,96413
3128316.329658895730972,1443564.520331770181656,306,MAC'D,"2638 SOUTH TIMBERLINE ROAD, UNIT 120",Hotel-Restaurant,96507
3110791.700010567903519,1452326.407331928610802,307,COSMO'S PIZZA,"1401 WEST ELIZABETH STREET, UNIT 130",Beer and Wine,96608
3122602.580261573195457,1457798.080121025443077,308,RED TRUCK BREWERY,1020 EAST LINCOLN AVENUE,Brew Pub,96876
3116675.52518405020237,1433583.035042479634285,309,SAMMY'S BREAKFAST BAR,4613 SOUTH MASON,Hotel-Restaurant,97519
3117919.170337200164795,1436821.810053497552872,310,SUH SUSHI & KOREAN BBQ,165 EAST BOARDWALK DRIVE,Hotel-Restaurant,97658
3117941.12993723154068,1457213.629192486405373,311, BONDI BEACH BAR AND GRILL,"11 OLD TOWN SQUARE, SUITE 120",Tavern,97749
3117571.59459288418293,1457874.23744909465313,312,"PIZZA PRESS FOCO, THE","216 NORTH COLLEGE AVENUE, SUITE 120",Beer and Wine,97765
3117420.690368741750717,1462645.19969354569912,313,"LYRIC, THE",1209 NORTH COLLEGE AVENUE,Lodging & Entertainment,97871
3118133.190913408994675,1457073.83943235874176,314,"ARMORY, THE",262 EAST MOUNTAIN AVENUE,Lodging & Entertainment,98444
3106757.584726810455322,1452784.374916359782219,315,EMPORIUM SPORTS BAR,"925 SOUTH TAFT HILL ROAD, SUITE 1",Hotel-Restaurant,98450
3111007.95057076215744,1452545.869828134775162,316,YUM YUM RESTAURANT/MA'S JUICE BAR,1300 WEST ELIZABETH STREET,Hotel-Restaurant,98515
3117678.425744980573654,1457967.214617192745209,317,STEAMIES BURGER BAR,"234 NORTH COLLEGE AVENUE, SUITE B2",Hotel-Restaurant,98640
3117941.12993723154068,1457213.629192486405373,318,BONDI BEACH BAR AND GRILL,11 OLD TOWN SQUARE #120,Tavern,98667
3112152.790795832872391,1452516.309508115053177,319, QDOBA MEXICAN EATS STORE 2053,1104 WEST ELIZABETH STREET,Hotel-Restaurant,98668
3123277.479174196720123,1455328.579798728227615,320,QDOBA MEXICAN EATS STORE 2291,"1281 EAST MAGNOLIA STREET, UNIT 5",Hotel-Restaurant,98671
3112103.960187792778015,1444893.669901013374329,321,QDOBA MEXICAN EATS 2307, 2513 SOUTH SHIELDS STREET,Hotel-Restaurant,98673
3131833.347230166196823,1434517.848131343722343,322,BANN THAI RESTAURANT,2721 COUNCIL TREE AVENUE SUITE #137,Hotel-Restaurant,98688
3101818.590994209051132,1449779.889457568526268,323,7-ELEVEN STORE 35506J,3045 WEST PROSPECT ROAD,Fermented Malt Beverage (off-premises),98734
3111574.140715301036835,1444572.010444715619087,324,SIMMER,"2519 SOUTH SHEILDS STREET, SUITE 1F",Hotel-Restaurant,98769
3118064.7402573376894,1457660.479992896318436,325,CORINA'S PIZZA,241 LINDEN STREET,Beer and Wine,98858
3112764.970012411475182,1438713.190471261739731,326,GAME DAY SPORTS GRILL,"1027 WEST HORSETOOTH ROAD, SUITE 111",Hotel-Restaurant,98904
3117344.189856663346291,1456795.69924008846283,327,LULU ASIAN BISTRO,117 SOUTH COLLEGE AVENUE,Hotel-Restaurant,98905
3121870.080420881509781,1432343.830497324466705,328,MIRAMONT BY GENESIS,901 OAKRIDGE DRIVE,Lodging & Entertainment,98930
3111574.140715301036835,1444572.010444715619087,329,CANCUN MEXICAN GRILL,"2567 SOUTH SHEILDS STREET, SUITE 4D",Hotel-Restaurant,98934
3117687.70984098315239,1423206.510520815849304,330,7-ELEVEN STORE 32276B,6600 SOUTH COLLEGE AVENUE,Fermented Malt Beverage (off-premises),98935
3117556.898432865738869,1457986.659785211086273,331,VATOS TACOS AND TEQUILA,"234 NORTH COLLEGE AVENUE, UNIT 2A",Hotel-Restaurant,99008
3110205.937082022428513,1452309.397523909807205,332,TECATE GRILL,1501 WEST ELIZABETH STREET UNIT 2,Hotel-Restaurant,99009
3118205.140241473913193,1457866.329657092690468,333,UNION,250 JEFFERSON STREET,Hotel-Restaurant,99024
3117234.940736562013626,1443426.720075637102127,334,PANHANDLER'S PIZZA,"2721 SOUTH COLLEGE AVENUE, UNIT 4B",Beer and Wine,99046
3112119.60025180876255,1444007.791100189089775,335,ALTA #6130,1113 WEST DRAKE ROAD,Fermented Malt Beverage (off-premises),99093
3135910.579233959317207,1433597.070770487189293,336,MIDICI FT COLLINS CO,3581 EAST HARMONY ROAD #170,Beer and Wine,99157
3117207.362048536539078,1435070.754835858941078,337,TARGET STORE T-0079,105 WEST TROUTMAN PARKWAY,Fermented Malt Beverage (off-premises),99210
3118004.780737280845642,1457570.42997682094574,338,SUSHI ZENSAI LINDEN,223 LINDEN STREET,Hotel-Restaurant,99334
3139448.728981256484985,1454565.275558024644852,339,"MAVERIK, INC. #520",651 S.E. FRONTAGE ROAD,Fermented Malt Beverage (off-premises),99433
3131970.930302292108536,1434034.511506900191307,340,URBAN BRICKS PIZZA BAR,2860 EAST HARMONY ROAD SUITE 110,Hotel-Restaurant,99440
3117037.730176389217377,1445463.560173541307449,341,WINE AND LIQUOR SPECIALS,2439 SOUTH COLLEGE AVENUE,Retail Liquor Store,99477
3116881.68028824031353,1455274.169158682227135,342,THE 415,415 SOUTH MASON STREET,Hotel-Restaurant,99571
3117070.356752410531044,1446778.764222770929337,343,WHOLE FOODS MARKET,2201 SOUTH COLLEGE AVENUE,Fermented Malt Beverage (off-premises),99653
3117160.680720493197441,1456339.159479662775993,344,JAY'S BISTRO,135 WEST OAK STREET,Hotel-Restaurant,99657
3117289.180464625358582,1438693.880791231989861,345,SAFEWAY STORE #862,3660 SOUTH MASON STREET,Fermented Malt Beverage (off-premises),99814
3135817.689985871315002,1433656.10017853975296,346,TASTE AND SAVOR WINE BAR,"3581 EAST HARMONY ROAD, SUITE 130",Beer and Wine,99844
3123841.299574717879295,1449483.959281280636787,347,GENESIS HEALTH CLUBS,1307 EAST PROSPECT ROD,Lodging & Entertainment,99871
3117615.420624926686287,1454071.510149553418159,348,THAI STATION,626 SOUTH COLLEGE AVENUE,Hotel-Restaurant,100172
3117421.133280739188194,1435475.874756246805191,349,OREGANO'S PIZZA BISTRO,4235 SOUTH COLLEGE AVENUE,Hotel-Restaurant,100291
3117030.110432371497154,1453837.539477333426476,350,METRO,130 WEST LAUREL,Hotel-Restaurant,100335
3118110.220817387104034,1438884.401079416275024,351,LIRANO WINE BAR,"3600 MITCHELL DR., #5",Tavern,100362
3117381.780336707830429,1448326.10889621078968,352,SIPS GRUB & PUB,"1801 SOUTH COLLEGE AVENUE, UNIT D",Hotel-Restaurant,100608
3117686.100592985749245,1442969.340747222304344,353,7-ELEVEN STORE 26803J,2800 SOUTH COLLEGE AVENUE,Fermented Malt Beverage (off-premises),100819
3118844.999858066439629,1457093.56972037255764,354,ALTA #6138,382 EAST MOUNTAIN AVENUE,Fermented Malt Beverage (off-premises),100820
3117032.180320382118225,1456827.759544119238853,355,THE REGIONAL,130 SOUTH MASON,Hotel-Restaurant,100949
3118488.492369741201401,1427909.22354918718338,356,WHETSTONE CLIMBING,220 SMOKEY STREET,Beer and Wine,101097
3122571.590821534395218,1443665.090667873620987,357,She She Nail & Wax Lounge,"2601 South Lemay Avenue, #26",Beer and Wine,3292
3112710.790668353438377,1434490.450547322630882,358,ENVY BREWING,1043 BITTERBRUSH LANE,Brew Pub,101487
3122658.569989621639252,1443665.090667873620987,359,THE GARLIC KNOT,"2601 SOUTH LEMAY, #30",Beer and Wine,101632
3121227.140756279230118,1433104.150178030133247,360,SAM'S CLUB #6633,4700 BOARDWALK,Fermented Malt Beverage (off-premises),101664
,,361,THE GOLD LEAF,"120 WEST LAUREL, UNIT A & B",Beer and Wine,101671
3120699.70021179318428,1434004.800274863839149,362,7-ELEVEN STORE 25290B,4543 BOARDWALK DRIVE,Fermented Malt Beverage (off-premises),102352
3122658.569989621639252,1443665.090667873620987,363,THE GARLIC KNOT,"2601 SOUTH LEMAY AVENUE, #30",Beer and Wine,102405
3117607.160464912652969,1457510.779176756739616,364,"VALERO, INC.",166 NORTH COLLEGE AVENUE,Fermented Malt Beverage (off-premises),102407
3118505.110769748687744,1440506.080584928393364,365,X GOLF,351 EAST FOOTHILLS PARKWAY,Lodging & Entertainment,102411
3132216.949822515249252,1434676.910483494400978,366,NORK MAKI BAR,"2842 COUNCIL TREE AVENUE, UNIT 173",Hotel-Restaurant,102471
3117314.2804806381464,1456055.91955940425396,367,CHOICE CITY BUTCHER & DELI,104 WEST OLIVE,Hotel-Restaurant,102479
3117615.240496918559074,1453644.139941155910492,368,THAI PEPPER,109 EAST LAUREL STREET,Beer and Wine,102801
3117314.2804806381464,1456055.91955940425396,369,MUGS COFFEE LOUNGE,261 SOUTH COLLEGE AVENUE,Hotel-Restaurant,102842
3108702.960760623216629,1455881.689271241426468,370,CITY PARK NINE GOLF COURSE,411 SOUTH BRYAN AVENUE,Optional Premise,102857
3129650.379820138216019,1433963.329890832304955,371,LOCALITY KITCHEN AND BAR,"2350 EAST HARMONY ROAD, SUITE 101",Hotel-Restaurant,102860
3117036.860096380114555,1457314.949528574943542,372,TOM KHA THAI ASIAN BISTRO,"144 NORTH MASON STREET, UNIT 8",Hotel-Restaurant,102862
3117160.800464496016502,1456092.779719442129135,373,DAE GEE #5,"120 WEST OLIVE STREET, SUITE 101",Hotel-Restaurant,102971
3118133.514065399765968,1435556.740740314126015,374,NATURAL GROCERS,4318 SOUTH COLLEGE AVENUE,Fermented Malt Beverage (off-premises),102984
3109716.420345559716225,1455693.209655061364174,375,CLUB TICO,1599 CITY PARK DRIVE,Hotel-Restaurant,103093
3111710.880587428808212,1445582.450349658727646,376,FORT COLLINS SENIOR CENTER,1200 RAINTREE DRIVE,Hotel-Restaurant,103094
3132044.749694362282753,1434711.960275530815125,377,STUDIO BE SALON,2720 COUNCIL TREE AVENUE #180,Beer and Wine,103118
3117770.390129074454308,1457328.509528592228889,378,STUDIO BE SALON,15 OLD TOWN SQUARE #131,Beer and Wine,103120
3118147.579985424876213,1457438.489960700273514,379,POUR BROTHERS,220 LINDEN STREET,Hotel-Restaurant,103244
3117618.520672932267189,1456333.979367658495903,380,AGGIE THEATRE,204 SOUTH COLLEGE AVENUE,Tavern,103254
3117202.660624533891678,1455111.269878521561623,381,LUCKY'S MARKET,425 SOUTH COLLEGE AVENUE,Fermented Malt Beverage (off-premises),103255
3135817.689985871315002,1433656.10017853975296,382,TASTE AND SAVOR WINE BAR,"3581 EAST HARMONY ROAD, SUITE 130",Beer and Wine,103278
